IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
SCOP DATA;SCOP;5,21494E+13;Narbonne;ZI CROIX SUD 2 RUE JOSEPH CUGNOT  11100 NARBONNE   ;0;17/08/2010 00:00
SCV domaine skiable;SCVD;3,488E+13;Gap;LE SERRE D AIGLE PLACE DU TELEPHERIQUE  05330 SAINT-CHAFFREY   ;0;28/07/2016 00:00
SD NUM SAS;R144;4,49316E+13;Paris;IMPASSE PASSOIR 17 RUE DE NEUILLY  92110 CLICHY   ;1;17/02/2004 00:00
SDCI;SDCI;4,99341E+13;LYON; 4 RUE DU COLONEL CHAMBONNET  69500 BRON   ;0;26/02/2013 00:00
Sdcom-ip;SDCO;8,3812E+13;ARRAS; 9 RUE CLEMENT ADER  62710 COURRIERES   ;0;02/08/2021 00:00
SEACOM FRANCE;SEAC;5,10129E+13;Marseille;ESPACE PROVENCE 10 PLACE DE LA JOLIETTE - LES DOCKS AT  13567 MARSEILLE  CEDEX 02 ;0;31/03/2009 00:00
Secretariat.pro;SEPR;8,17956E+13;Angers; 16 RUE DE L ERMITAGE  49400 SAUMUR   ;0;27/02/2020 00:00
Secure-IT;SECU;5,29213E+13;Lyon; 254 RUE FRANCIS DE PRESSENSE  69100 VILLEURBANNE   ;0;04/07/2018 00:00
SECURITY KEEPERS;SCKP;4,22588E+13;Paris; 4 RUE D ENGHIEN  75010 PARIS   ;0;11/12/2007 00:00
Security of digital networks international;SDNI;4,79758E+13;Lyon; 9 ALLEE DES TULIPIERS  69500 BRON   ;0;10/06/2020 00:00
SEINE ESSONNE TRES HAUT DEBIT;SETR;7,51311E+13;NANTERRE;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;16/05/2012 00:00
Seine Estuaire networks;SESN;7,53422E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;03/09/2012 00:00
Seine-et-Marne THD;SMTH;8,0861E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;10/02/2015 00:00
Selecom Critical Comms;SLCC;8,78592E+13;Perpignan;AVENUE DU PLA DE DALT ZA ALFRED SAUVY  66500 PRADES   ;0;29/01/2020 00:00
Selecom Sud electronique communication;SELC;4,00078E+13;Perpignan;ZA ESPACE ALFRED SAUVY   66500 PRADES   ;0;08/03/2018 00:00
Selectel;SELE;3,92151E+13;Paris; 174 RUE DE CHARONNE  75011 PARIS   ;0;31/08/2017 00:00
SEM e-tera;TERA;4,31765E+13;Albi; 46 RUE SERE DE RIVIERES  81000 ALBI   ;0;02/07/2004 00:00
SEM@FOR77;SEM@;4,9299E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;1;08/12/2006 00:00
Sema solutions;SEMA;8,2194E+13;Toulon;BUSINESS PARK DES PLAYES 540 BOULEVARD DE L EUROPE  83500 LA SEYNE-SUR-MER   ;0;17/11/2016 00:00
Semaphors;SEOR;4,09782E+13;Angers;ZI LES PAGANNES ST-PIERRE-MONTLIMART   49110 MONTREVAULT-SUR-EVRE   ;0;16/10/2018 00:00
SEMAPHORS Rennes;SEMR;8,14313E+13;Rennes;ESPACE PERFORMANCE - BAT I2 AVENUE D'ALPHASIS  35760 SAINT GREGOIRE   ;0;11/02/2021 00:00
SEML Saint Jean activités;SEML;3,91751E+13;La Roche-sur-Yon;HOTEL DE VILLE 18 RUE DE LA PLAGE  85160 SAINT-JEAN-DE-MONTS   ;0;29/07/2015 00:00
Senetel;SENE;5,00044E+13;Le Mans; 4 RUE DE LA COULEE  72190 SAINT-PAVACE   ;0;06/02/2019 00:00
Sensing vision;SEVI;8,29892E+13;Rennes; 7 RUE DU PERTUE RENAUD  35250 SAINT SULPICE LA FORET   ;0;17/03/2019 00:00
Senso telecom;SENT;4,98379E+13;Nanterre;IMMEUBLE LE MAGELLAN 105 RUE JULES GUESDE  92300 LEVALLOIS-PERRET   ;1;16/07/2007 00:00
Sepa telecom;SEPA;4,02525E+13;Lyon;SAINT ANDEOL LE CHATEAU 93 ROUTE DE BELLEVUE  69700 BEAUVALLON RHONE  ;0;04/11/2019 00:00
Sequalum SAS;SEQU;5,03673E+13;Nanterre; 124 BOULEVARD DE VERDUN  92400 COURBEVOIE   ;0;30/09/2008 00:00
Sequantic telecom;SETE;5,05272E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;02/10/2008 00:00
Sequence telecom;SQOM;8,89427E+13;Angoulême;ZONE INDUSTRIELLE NUMERO 3 79 AVENUE MARYSE BASTIE  16340 L'ISLE D'ESPAGNAC   ;0;16/10/2020 00:00
SEREVIA;SERE;5,20838E+13;Versailles; 16 ROUTE DES CHATEAUX  78770 AUTOUILLET   ;0;29/11/2010 00:00
Serfim TIC;SERF;4,31904E+13;Lyon; 2 CHEMIN DU GENIE BP 83 69633 VENISSIEUX  CEDEX ;0;06/10/2015 00:00
Serinya telecom;FRMT;7,51005E+13;ROUEN; 5 RUE JACQUES MONOD BP 559 76824 MONT SAINT AIGNAN   ;1;29/06/2012 00:00
SERP Société entretien et réalisation de réseaux;SERP;350469490;Lyon; 197 ANCIEN CANAL DE LA MADELEINE  69440 CHABANIERE   ;0;28/04/2020 00:00
Serverheberg;SVHG; ;N° W691099629 Préfecture du Rhône; 18/20 RUE TRONCHET  69006 LYON   ;0;02/03/2019 00:00
Servers applications technologies;SATE;4,51796E+13;Saverne; 12 RUE D'OBERMODERN  67330 OBERMODERN-ZUTZENDORF   ;0;22/10/2015 00:00
SERVICE DE TRAITEMENT PAR ORDINATEUR DE LA REUNION;STSO;3,10864E+13;SAINT-DENIS;TECHNOLPOLE DE LA REUNION 4 RUE RENE DEMARNE  97490 SAINTE CLOTILDE   ;0;22/04/2013 00:00
SERVICE DISTRIBUTION INFORMATIQUE ROCA;SDIR;3,90485E+13; ;LE PANAROMA - ZI TOULON EST 151 AVENUE ALPHONSE LAVALLEE BP 277 83078 TOULON  CEDEX 9 ;0;22/06/2011 00:00
Service equipement ingeniere informatique;SE2I;4,2994E+13;Villefranche-Tarare; 67 ROUTE DE LA BOURLATIERE  69480 LACHASSAGNE   ;0;20/01/2014 00:00
Service fibre entreprise;SFEN;8,22857E+13;Créteil; 12 RUE DE L'ARCADE  94220 CHARENTON-LE-PONT   ;0;13/11/2019 00:00
SERVICE NETWORK SECURITY;SENS;4,42364E+13;Montpellier;ZAC TOURNEZY I 70 RUE SIMONE SIGNORET  34070 MONTPELLIER   ;0;02/04/2010 00:00
Service technologie informatique maintenance plus;STIN;3,83163E+13;Nanterre; 168 AVENUE GEORGES CLEMENCEAU  92000 NANTERRE   ;0;18/06/2020 00:00
Services assistance à la personne Auvergne Rhône Alpes;SAPA;8,20848E+13;Cusset; 16 RUE CHARLES RISPAL  03000 MOULINS   ;0;15/02/2017 00:00
Servicinfo;SEFO;4,77922E+13;Melun; ALLEE DES ORMETAUX  77170 BRIE-COMTE-ROBERT   ;0;28/06/2018 00:00
SES TechCom S.A.;TECM; ;Luxembourg B 104514; CHATEAU DE BETZDORF  L-6815 BETZDORF   LUXEMBOURG;0;24/03/2015 00:00
Sesame telecom OU;SESA; ;14992040 Registre du commerce de Tartu, Estonie; 12 AHTRI TN  10151 TALLINN   ESTONIE;0;31/07/2021 00:00
Setcom systèmes et équipements de télécommande;SETC;312549215;Nanterre; 39 RUE DE LA DEFENSE  92130 ISSY LES MOULINEAUX   ;0;19/11/2015 00:00
Setera international;STER; ;1586025-7 Espoo (Finland); 12 METSANNEIDONKUJA  FI-02130 ESPOO   FINLANDE;0;04/05/2019 00:00
Seven SAS;SEVN;8,11799E+13;Nanterre; 10 AVENUE REAUMUR  92140 CLAMART   ;0;07/04/2021 00:00
Sewan;SEWA;4,52363E+13;Paris; 2 CITÉ PARADIS  75010 PARIS   ;1;24/10/2007 00:00
Seys Martin;MEOW;9,0344E+13;PARIS; 57 RUE DES MORILLONS 114 75015 PARIS   ;0;24/11/2021 00:00
SFR fibre SAS;UPCF;4,00462E+13;Meaux; 10 RUE ALBERT EINSTEIN  77437 CHAMPS-SUR-MARNE  CEDEX 2 ;1;17/06/1998 00:00
SG com;SGCM;8,98615E+13;Bordeaux;CS 80112 32 ALLEE DE BOUTAUT  33070 BORDEAUX  CEDEX ;0;29/04/2021 00:00
SGN TELECOM;SGNT;5,30866E+13;NANTERRE; 47 RUE MARCEL DASSAULT  92514 BOULOGNE-BILLANCOURT  CEDEX ;0;10/09/2012 00:00
SHANKAA;SHAN;4,99476E+13; ; 402 BOULEVARD VICTOR POULAIN  62780 CUCQ   ;0;30/10/2007 00:00
Sharyz SA;SHRZ; ;CH-550-1093798-4; 3 ROUTE DE PRE DE LA GRANGE  1680 ROMONT FR FRIBOURG  SUISSE;0;14/09/2018 00:00
Shaylan;SHAY;843181827;Pontoise; 12 AVENUE DU 8 MAI 1945  95200 SARCELLES   ;0;05/05/2021 00:00
Shining;SHIN;4,51273E+13;Paris; 102 AVENUE DES CHAMPS ELYSEES  75008 PARIS   ;1;23/08/2016 00:00
SHPV France;SHPV;8,08863E+13;Béziers; 4 PLACE DES ALLIES  34500 BEZIERS   ;0;05/06/2018 00:00
SIBELIUS;SIBE;4,4303E+13;Versailles; 3 RUE DE PARIS  78560 LE PORT MARLY   ;0;23/06/2011 00:00
Sieda syndicat intercommunal d'énergies du département de l'Aveyron;SIED;2,00052E+13;Rodez;ZAC DE BOURRAN 12 RUE DE BRUXELLES BP 3216 12032 RODEZ  CEDEX 9 ;0;25/05/2016 00:00
Sifatech;SIFA;8,39627E+13;Clermont-Ferrand; 15 RUE DU PRE LA REINE  63000 CLERMONT-FERRAND   ;0;21/06/2018 00:00
Sigfox France;SGFX;8,24212E+13;Toulouse; 425 RUE JEAN ROSTAND  31670 LABEGE   ;0;23/04/2019 00:00
SIGIRE;SIGI;5,23594E+13;Le Mans;ZA DU DANEMARK 20 RUE DE SARDAIGNE  72100 LE MANS   ;0;14/11/2011 00:00
SIGMA INFORMATIQUE;SIGM;8,72803E+13;Nantes;LA GESVRINE 3 RUE NEWTON BP 4127 44241 LA CHAPELLE S ERDRE  CEDEX ;0;10/11/2008 00:00
Sigma informatique;SIUE;4,0972E+13;Rennes; 6 QUAI DE BREST  35600 REDON   ;0;27/10/2017 00:00
Sigma Méditerranée;SIME;4,3014E+13;Carcassonne;ZA SAINT-JEAN DE L ARNOUZE RUE CLAUDE CHAPPE  11000 CARCASSONNE   ;0;22/08/2019 00:00
SIGMA NET Sante;SINS;4,01224E+13;ANNECY; 18 RUE DE L'EURO  74960 ANNECY   ;0;12/02/2021 00:00
SIGNALHORN;SESM; ;Luxembourg B 113340; ILLERSTRASSE 15  D-71522 BACKNANG   ALLEMAGNE;0;25/02/2003 00:00
Signalisation et éclairage de Belledonne;SEEB;4,52786E+13;Grenoble; 7 RUE EUGENE RAVANAT CS 40023 38320 EYBENS   ;0;01/03/2021 00:00
SIGNORET TELECOM;SIGN;3,11765E+13;NICE; 96 BOULEVARD DE CESSOLE  06100 NICE   ;0;23/08/2013 00:00
Simplenet;SMLT;8,04361E+13;Montpellier;ZA LES CANNABES   34660 COURNONTERRAL   ;0;24/10/2019 00:00
Simplexa;SIMP;7,99984E+13;Grenoble; 20 RUE ANTOINE CHOLLIER  38170 SEYSSINET-PARISET   ;0;28/08/2019 00:00
Simplicitel;SPTL;4,93403E+13;Paris; 11 BIS RUE VICTOR SCHOELCHER  75014 PARIS   ;0;22/03/2007 00:00
Simtel;SIMT;378613095;Le Mans;IMPASSE LEDUC LADEVEZE ZA LA FORET  72470 CHAMPAGNE   ;0;28/06/2016 00:00
Sinch Sweden AB;CLXN; ;556747-5495 STOCKHOLM;7° ETAGE LINDHAGENSGATAN 74  112 18 STOCKHOLM   SUEDE;1;09/08/2012 00:00
Sine qua non;SIQN;4,51938E+13;Paris; 13 RUE CHALIGNY  75012 PARIS   ;0;29/11/2018 00:00
SINERGENCE;SINE;5,04596E+13;Dunkerque;RESIDENCE LAMARTINE 16 RUE DU CHATEAU  59140 DUNKERQUE   ;0;29/12/2010 00:00
Sinergy;SNGY;8,48704E+13;Tours; 40 RUE DE L'ETAIN  37210 PARCAY-MESLAY   ;0;04/03/2019 00:00
Sinfonee;SINF;7,98914E+13;Marseille; 218 CHEMIN DU TOURTARET  13112 LA DESTROUSSE   ;0;08/07/2016 00:00
Sinouvé;SINO;8,01034E+13;Pointe-à-Pitre; 61 RUE VATABLE  97110 POINTE-A-PITRE   ;0;26/03/2015 00:00
SIP Communications Limited;SIPC; ;5759363; 10 LOWER THAMES STREET  EC3R 6EN LONDON   ROYAUME-UNI;0;18/05/2021 00:00
Sipartech;SIPA;5,07568E+13;Meaux; 7 RUE AUBER  75009 PARIS   ;0;25/05/2009 00:00
Sipstream;SIPS;8,39078E+13;Paris; 29 RUE DE BASSANO  75008 PARIS   ;1;01/08/2018 00:00
Sira 38;SI38;5,09063E+13;Grenoble;ZAC DE FOND RATEL 32 RUE DE L'EUROPE  38640 CLAIX   ;0;28/09/2018 00:00
Sisteo communications;SICO;5,17828E+13;Tours; 44 RUE DU SERGENT LECLERC  37000 TOURS   ;0;23/06/2017 00:00
Sita Switzerland SARL;SAIR; ;CH-112.159.240; CHEMIN DE JOINVILLE 26  1216 COINTRIN   SUISSE;0;29/03/2019 00:00
Sivom d'Algrange-Nilvange;SIAN;2,45701E+13;Nilvange; SITE DE LA PAIX  57240 NILVANGE   ;0;04/12/2018 00:00
SIVOM d'énergie du pays Toy;SEPT;2,56502E+13;Tarbes; 24 ZA SOUCASTETS  65120 LUZ-SAINT-SAUVEUR   ;0;19/06/2019 00:00
Six to one;SIXO;8,25256E+13;Melun; 3 RUE PAUL TAVERNIER  77300 FONTAINEBLEAU   ;0;24/07/2017 00:00
Skill telecom;SKIL;7,52135E+13;Saint-Brieuc; 6 ROND POINT SAINT-MARC  22300 LANNION   ;0;04/04/2018 00:00
SKIWEBCENTER;SKIW;4,49091E+13;Arras;RESIDENCES LES MOULINS 21 HAMEAU DES MESANGES  62217 BEAURAINS   ;0;07/07/2006 00:00
Sky telecom;SKYT; ;122766013 Tunis;EMRAUDE PALACE - LES BERGES DU LAC RUE LAC WINDERMERE  1053 TUNIS   TUNISIE;0;04/05/2017 00:00
SkyCall;SKYC;8,53831E+13;Paris; 66 AVENUE DES CHAMPS-ELYSEES  75008 PARIS   ;1;26/09/2019 00:00
skyDSL Europe B.V.;SKYD; ;805405471 à la Chambre de COmmerce des Pays-Bas; KAISERIN-AUGUSTA-ALLEE 14  10553 BERLIN   ALLEMAGNE;0;18/05/2017 00:00
Skylogic France;SKFR;529745655;Nanterre; 6 RUE AUGUSTE COMTE  92170 VANVES   ;0;01/08/2011 00:00
Skylogic SpA;SKLO; ;07977230015 Torino; STRADA PIANEZZA 289  10151 TORINO   ITALIE;0;02/05/2006 00:00
Skyroam;SKRM; ;HRB 180339 B;C/O WEWORK EICCHORNSTRASSE 3  10785 BERLIN   ALLEMAGNE;0;13/11/2019 00:00
Slash Trés Haut Débit;STHD; ;asso W9R4008234; 52 CHEMIN HIBON  97426 LES TROIS-BASSINS   ;0;21/02/2021 00:00
SLBC International;VOTE;4,33591E+13; ;1 BAT K SOPHIA ANTIPOLIS WTC 1300 ROUTE DES CRETES  06560 VALBONNE   ;0;21/05/2010 00:00
Smart CIC global services;SCGS;5,03618E+13;Cannes; 54 BOULEVARD CARNOT  06400 CANNES   ;0;02/10/2019 00:00
SMART NT;SMNT;849651666;Toulon; 262 CHEMIN DER BASSAQUET  83140 SIX FOURS LES PLAGES   ;0;15/03/2021 00:00
Smart service informatique;SSIE;8,10849E+13;Bastia;IMMEUBLE SOLINAS-LIEU DIT PASTORECCIA   20600 BASTIA   ;0;19/07/2018 00:00
Smart telecom ;SMAM;4,31409E+13;Pontoise;LE PERICLES 27 AVENUE DES BETHUNES  95042 CERGY PONTOISE  CEDEX ;0;31/08/2017 00:00
Smartcall;SMAL;8,5315E+13;Paris; 66 AVENUE DES CHAMPS-ELYSEES  75008 PARIS   ;1;22/11/2019 00:00
Smartcontact;SMAT;8,30254E+13;Créteil; 22 RUE CHAPTAL  94230 CACHAN   ;0;19/10/2017 00:00
Smartfib;SMIB;8,08093E+13;Strasbourg;ZONE INDUSTRIELLE LE RIED   67850 HERRLISHEIM   ;0;29/11/2018 00:00
Smart-it;SMIT;4,8175E+13;Paris; 52 BOULEVARD DU MONTPARNASSE  75015 PARIS   ;0;09/05/2019 00:00
Smartrends technologies;SMTT;8,33758E+13;Nevers; 77 RUE DE L ABREUVOIR  58500 CLAMECY   ;0;18/05/2018 00:00
Smartwin;SMIN;8,18154E+13;Aix-en-Provence;BAT. LE MERCURE C - P. ACT.LES MILLES 485 RUE MARCELLIN BERTHELOT  13290 AIX-EN-PROVENCE   ;0;11/02/2016 00:00
SMCD Groupe;SMCD;4,93833E+13;Nice; 7 IMPASSE DES NOISETIERS  06100 NICE   ;0;12/03/2008 00:00
SN2O;SN2O;8,34935E+13;La Roche sur Yon;ZA DE L ERAUDIERE 3 RUE ROBERT SCHUMAN  85170 DOMPIERRE SUR YON   ;0;17/04/2019 00:00
Snef;SNEF;5,68007E+12;Marseille; 87 AVENUE DES AYGALADES  13015 MARSEILLE   ;0;12/05/2014 00:00
SNEF telecom;SNFT;8,79917E+13;Marseille; 87 AVENUE DES AYGALADES  13015 MARSEILLE   ;0;10/04/2020 00:00
SNS Global Services;SNSG;4,5161E+13;Marseille;ESPACE VALENTINE - BÂT. B 1 MONTEE DE SAINT-MENET  13011 MARSEILLE   ;0;08/12/2020 00:00
Soares Ribeiro Mathieu;SORM;5,02398E+13;Compiègne; 17 RUE DES BOSQUETS  60300 CHAMANT   ;0;07/07/2020 00:00
SOBECA;SOBE;7,0378E+13;VILLEFRANCHE-TARARE; ZI AVENUE JEAN VACHER BP 23 69480 ANSE   ;0;27/06/2013 00:00
